,trip_name,arrival,departure,animationcode
91,S 1,1154,1155,
92,S 5,1157,1158,
93,RE 10a,1148,1149,
94,S 3,1112,1113,
95,S 2,1123,1125,
96,RE 73,1104,1105,
97,S 5,1127,1128,
98,S 3,1216,1218,
99,RB 68,1216,1220,
100,FLX 1244,1202,1206,
101,ICE 2971,1213,1215,
102,RB 68,1238,1241,
103,S 1,1202,1203,
104,S 51,1200,1201,
105,ICE 119,1204,1206,
106,S 3,1241,1243,
107,S 5,1257,1258,
108,RE 10a,1248,1249,
109,S 1,1223,1225,
110,S 51,1227,1228,
111,RE 5,1206,1207,
112,S 5,1230,1231,
113,RE 71,1232,1233,
114,IC 2045,1223,1225,
115,S 51,1230,1231,
116,RE 73,1209,1210,
117,RE 5,1219,1220,
118,RE 73,1252,1253,
119,S 5,1227,1228,
120,S 1,1254,1255,
121,RE 10a,1209,1210,
122,S 5,1200,1201,
123,RE 71,1219,1220,
124,S 2,1232,1233,
125,S 3,1244,1248,
126,S 3,1212,1213,
127,S 5,1330,1331,
128,S 5,1357,1358,
129,S 51,1330,1331,
130,S 51,1357,1358,
131,S 3,1345,1348,
132,S 3,1316,1318,
133,IC 2012,1353,1355,
134,RE 10a,1348,1349,
135,S 5,1300,1301,
136,ICE 1576,1344,1346,
137,RE 10a,1309,1310,
138,S 2,1323,1325,
139,S 3,1341,1343,
140,S 2,1332,1334,
141,RE 73,1349,1350,
142,S 51,1300,1301,
143,RB 68,1339,1341,
144,S 3,1312,1313,
145,S 1,1302,1303,
146,S 5,1327,1328,
147,RE 73,1304,1305,
148,RB 68,1316,1320,
149,S 1,1354,1355,
150,S 51,1327,1328,
151,S 2,1423,1425,
152,RE 5,1419,1420,
153,S 1,1402,1403,
154,S 5,1427,1428,
155,S 2,1432,1433,
156,RE 5,1406,1407,
157,S 51,1430,1431,
158,RB 68,1416,1420,
159,RE 73,1409,1410,
160,RE 71,1419,1420,
161,S 3,1412,1413,
162,ICE 1577,1413,1415,
163,S 5,1400,1401,
164,S 5,1430,1431,
165,S 3,1416,1418,
166,S 3,1441,1442,
167,S 3,1443,1448,
168,S 5,1457,1458,
169,S 51,1400,1401,
170,S 51,1457,1458,
171,RB 68,1439,1441,
172,RE 71,1432,1433,
173,IC 2013,1404,1406,
174,RE 73,1454,1455,
175,S 51,1427,1428,
176,S 1,1454,1455,
177,RE 10a,1409,1410,
178,RE 10a,1448,1449,
179,S 3,1516,1518,
