trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,station_uic
-459359605872297552,EC,1197,Hamburg Hbf,2508221703,2508221703,25082217,8002549
-4638125445494224250,EC,392,Hamburg Hbf,2508221454,2508221454,25082214,8002549
-4776595268609006900,ICE,1594,Hannover Hbf,2508221902,2508221902,25082219,8000152
-4853549543155830626,ICE,70,Hannover Hbf,2508222017,2508222020,25082220,8000152
-4853549543155830626,ICE,70,Hamburg-Harburg,2508222126,2508222128,25082221,8000147
-4853549543155830626,ICE,70,Hamburg Hbf,2508222139,2508222139,25082221,8002549
-4933670799214201742,ICE,108,Hamburg-Harburg,2508221901,2508221903,25082219,8000147
-4933670799214201742,ICE,108,Hamburg Hbf,2508221914,2508221917,25082219,8002549
-4933670799214201742,ICE,108,Hamburg Dammtor,2508221920,2508221921,25082219,8002548
-4933670799214201742,ICE,108,Hamburg-Altona,2508221930,2508221930,25082219,8002553
-4972973488175603045,IC,147,Hannover Hbf,2508221601,2508221604,25082216,8000152
-5014345937042997548,FLX,1347,Hamburg Hbf,2508221450,2508221450,25082214,8002549
-5014345937042997548,FLX,1347,Hamburg-Harburg,2508221459,2508221501,25082214,8000147
-5036776284380011862,IC,2048,Hannover Hbf,2508221323,2508221340,25082213,8000152
-5047123384798654324,ICE,858,Hannover Hbf,2508221528,2508221531,25082215,8000152
-508151058757607646,ICE,202,Hamburg-Harburg,2508221501,2508221503,25082215,8000147
-508151058757607646,ICE,202,Hamburg Hbf,2508221514,2508221514,25082215,8002549
-5150630006505627740,IC,2217,Hamburg Hbf,2508221645,2508221650,25082216,8002549
-521217330813819261,NJ,471,Hamburg-Altona,2508221752,2508221752,25082217,8002553
-521217330813819261,NJ,471,Hamburg Dammtor,2508221759,2508221801,25082217,8002548
-521217330813819261,NJ,471,Hamburg Hbf,2508221805,2508221808,25082218,8002549
-521217330813819261,NJ,471,Hamburg-Harburg,2508221820,2508221822,25082218,8000147
-521217330813819261,NJ,471,Hannover Hbf,2508222027,2508222036,25082220,8000152
-5225265888807154878,ICE,549,Hannover Hbf,2508221528,2508221531,25082215,8000152
-524151628723159576,ICE,685,Hamburg Dammtor,2508221854,2508221854,25082218,8002548
-524151628723159576,ICE,685,Hamburg Hbf,2508221858,2508221901,25082218,8002549
-524151628723159576,ICE,685,Hamburg-Harburg,2508221910,2508221912,25082219,8000147
-524151628723159576,ICE,685,Hannover Hbf,2508222022,2508222026,25082220,8000152
-5425302918995479956,ICE,615,Hamburg-Altona,2508221529,2508221529,25082215,8002553
-5425302918995479956,ICE,615,Hamburg Dammtor,2508221537,2508221538,25082215,8002548
-5425302918995479956,ICE,615,Hamburg Hbf,2508221542,2508221545,25082215,8002549
-5425302918995479956,ICE,615,Hamburg-Harburg,2508221555,2508221557,25082215,8000147
-5490647972792450213,FLX,1364,Hamburg Hbf,2508221432,2508221432,25082214,8002549
-5511541014003594580,ICE,643,Hannover Hbf,2508221928,2508221931,25082219,8000152
-561569379985084080,ICE,880,Hannover Hbf,2508221432,2508221436,25082214,8000152
-561569379985084080,ICE,880,Hamburg-Harburg,2508221540,2508221542,25082215,8000147
-561569379985084080,ICE,880,Hamburg Hbf,2508221555,2508221555,25082215,8002549
