trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,request_uic
-4972973488175603045,IC,147,Hannover Hbf,2508191601,2508191604,25081916,8000152
-5014345937042997548,FLX,1347,Hamburg Hbf,2508191450,2508191450,25081914,8002549
-5014345937042997548,FLX,1347,Hamburg-Harburg,2508191459,2508191501,25081914,8000147
-5036776284380011862,IC,2048,Hannover Hbf,2508191323,2508191340,25081913,8000152
-5047123384798654324,ICE,858,Hannover Hbf,2508191528,2508191531,25081915,8000152
-508151058757607646,ICE,202,Hamburg-Harburg,2508191501,2508191503,25081915,8000147
-508151058757607646,ICE,202,Hamburg Hbf,2508191514,2508191514,25081915,8002549
-5150630006505627740,IC,2217,Hamburg Hbf,2508191645,2508191650,25081916,8002549
-5225265888807154878,ICE,549,Hannover Hbf,2508191528,2508191531,25081915,8000152
-524151628723159576,ICE,685,Hamburg Dammtor,2508191854,2508191854,25081918,8002548
-524151628723159576,ICE,685,Hamburg Hbf,2508191858,2508191901,25081918,8002549
-524151628723159576,ICE,685,Hamburg-Harburg,2508191910,2508191912,25081919,8000147
-524151628723159576,ICE,685,Hannover Hbf,2508192022,2508192026,25081920,8000152
-5294826886116498524,IC,2313,Hamburg Hbf,2508191245,2508191250,25081912,8002549
-5425302918995479956,ICE,615,Hamburg-Altona,2508191529,2508191529,25081915,8002553
-5425302918995479956,ICE,615,Hamburg Dammtor,2508191537,2508191538,25081915,8002548
-5425302918995479956,ICE,615,Hamburg Hbf,2508191542,2508191545,25081915,8002549
-5425302918995479956,ICE,615,Hamburg-Harburg,2508191555,2508191557,25081915,8000147
-5511541014003594580,ICE,643,Hannover Hbf,2508191928,2508191931,25081919,8000152
-561569379985084080,ICE,880,Hannover Hbf,2508191432,2508191436,25081914,8000152
-561569379985084080,ICE,880,Hamburg-Harburg,2508191540,2508191542,25081915,8000147
-561569379985084080,ICE,880,Hamburg Hbf,2508191555,2508191555,25081915,8002549
-5777610419921593424,ICE,856,Hannover Hbf,2508191728,2508191731,25081917,8000152
-5894767788106580379,ICE,602,Uelzen,2508191328,2508191330,25081913,8000168
-5894767788106580379,ICE,602,Hamburg Hbf,2508191411,2508191415,25081914,8002549
-5894767788106580379,ICE,602,Hamburg-Altona,2508191425,2508191425,25081914,8002553
-5934220346191493505,ICE,1677,Hamburg-Altona,2508191813,2508191813,25081918,8002553
-5934220346191493505,ICE,1677,Hamburg Dammtor,2508191820,2508191821,25081918,8002548
-5934220346191493505,ICE,1677,Hamburg Hbf,2508191825,2508191828,25081918,8002549
-5934220346191493505,ICE,1677,Hamburg-Harburg,2508191838,2508191840,25081918,8000147
-5934220346191493505,ICE,1677,Lüneburg,2508191857,2508191859,25081918,8000238
-5934220346191493505,ICE,1677,Uelzen,2508191913,2508191915,25081919,8000168
-5934220346191493505,ICE,1677,Celle,2508191937,2508191938,25081919,8000064
-5934220346191493505,ICE,1677,Hannover Hbf,2508191958,2508191958,25081919,8000152
-5957666693722375587,ICE,773,Hamburg Dammtor,2508191716,2508191716,25081917,8002548
-5957666693722375587,ICE,773,Hamburg Hbf,2508191720,2508191724,25081917,8002549
-5957666693722375587,ICE,773,Hannover Hbf,2508191838,2508191841,25081918,8000152
-5981141401498695982,ICE,508,Uelzen,2508191728,2508191730,25081917,8000168
-5981141401498695982,ICE,508,Hamburg-Harburg,2508191810,2508191812,25081918,8000147
-5981141401498695982,ICE,508,Hamburg Hbf,2508191823,2508191826,25081918,8002549
-5981141401498695982,ICE,508,Hamburg Dammtor,2508191829,2508191830,25081918,8002548
-5981141401498695982,ICE,508,Hamburg-Altona,2508191838,2508191838,25081918,8002553
-6012005053401607387,ICE,770,Hannover Hbf,2508191317,2508191320,25081913,8000152
-6012005053401607387,ICE,770,Hamburg Hbf,2508191436,2508191436,25081914,8002549
-6123363187143113361,ICE,640,Hannover Hbf,2508191228,2508191231,25081912,8000152
-6270903731699972278,ICE,651,Hannover Hbf,2508191718,2508191721,25081917,8000152
-6347247937536657417,IC,2311,Hamburg Hbf,2508191245,2508191250,25081912,8002549
-6452407069337976676,ICE,518,Hamburg-Harburg,2508192001,2508192003,25081920,8000147
-6452407069337976676,ICE,518,Hamburg Hbf,2508192014,2508192017,25081920,8002549
-6452407069337976676,ICE,518,Hamburg Dammtor,2508192020,2508192021,25081920,8002548
-6452407069337976676,ICE,518,Hamburg-Altona,2508192030,2508192030,25081920,8002553
-6473521293204692902,IC,2262,Hamburg Hbf,2508191230,2508191230,25081912,8002549
-667854438862135023,ICE,506,Uelzen,2508191928,2508191930,25081919,8000168
-667854438862135023,ICE,506,Hamburg Hbf,2508192011,2508192011,25081920,8002549
